t.C.nm, C.Int.mu,  C.Int.unc, Si.Int.mu, Si.Int.unc
0.000,11.270,1.190,13036.740,11.420
2.000,61.940,0.790,12981.860,11.390
4.000,108.710,1.040,12955.950,11.380
6.000,162.280,1.270,12811.350,11.320
8.000,212.140,1.460,12804.410,11.320
10.000,256.740,1.600,12747.830,11.290
12.000,311.460,1.760,12709.850,11.270
14.000,344.970,1.860,12676.300,11.260
16.000,410.070,2.020,12512.930,11.190
18.000,451.510,2.130,12489.810,11.180
20.000,503.250,2.560,12445.100,11.160
22.000,549.960,2.350,12445.090,11.160
24.000,612.300,2.470,12377.930,11.130
26.000,683.630,2.620,12303.130,11.090
28.000,726.850,2.700,12231.930,11.060
30.000,777.440,2.790,12189.180,11.040
32.000,819.470,2.860,12074.980,10.990
34.000,901.240,3.000,12021.510,10.960
36.000,916.320,3.160,12018.230,10.960
38.000,989.830,3.320,11936.860,10.930
40.000,1047.960,3.640,11872.350,10.900
42.000,1101.820,3.720,11798.900,10.860
44.000,1159.860,3.510,11698.700,10.820
46.000,1201.150,3.710,11706.190,10.820
48.000,1285.130,3.580,11651.530,10.790
50.000,1290.380,3.730,11616.680,10.780
52.000,1339.040,4.060,11537.980,10.740
54.000,1424.250,3.770,11499.360,10.720
56.000,1469.030,3.940,11383.840,10.670
58.000,1539.540,3.920,11301.790,10.630
60.000,1583.810,4.160,11265.420,10.610
62.000,1647.560,4.320,11195.270,10.580
64.000,1706.700,4.250,11140.240,10.550
66.000,1722.950,4.280,11131.940,10.550
68.000,1808.160,4.550,11040.220,10.510
70.000,1833.180,4.470,10955.750,10.470
72.000,1913.050,4.690,10928.700,10.450
74.000,1983.310,4.660,10823.460,10.400
76.000,2060.110,4.790,10792.480,10.880
78.000,2076.190,4.800,10724.630,10.360
80.000,2131.330,4.820,10751.590,10.370
82.000,2216.440,4.830,10635.870,10.310
84.000,2220.550,4.890,10600.370,10.300
86.000,2332.400,4.970,10421.890,10.210
88.000,2368.640,5.200,10435.720,10.220
90.000,2452.510,5.290,10350.340,10.170
92.000,2540.510,5.220,10239.030,10.120
94.000,2560.250,5.500,10176.250,10.090
96.000,2588.220,5.490,10165.290,10.080
98.000,2633.790,5.560,10190.690,10.100
100.000,2738.710,5.540,10000.720,10.000
