t.C.nm,Si.Int.rel,c.to.si.mu
0.5,0.99763,0.00849
1,0.99559,0.01122
1.5,0.99355,0.01398
2,0.99149,0.01677
2.5,0.98943,0.01959
3,0.98735,0.02244
3.5,0.98527,0.02532
4,0.98318,0.02824
4.5,0.98108,0.03118
5,0.97897,0.03415
5.5,0.97685,0.03715
6,0.97472,0.04019
6.5,0.97258,0.04325
7,0.97044,0.04634
7.5,0.96828,0.04947
8,0.96612,0.05262
8.5,0.96394,0.05581
9,0.96176,0.05902
9.5,0.95956,0.06226
10,0.95736,0.06554
10.5,0.95515,0.06884
11,0.95292,0.07218
11.5,0.95069,0.07554
12,0.94844,0.07892
12.5,0.94618,0.08234
13,0.94391,0.08579
13.5,0.94164,0.08927
14,0.93935,0.09277
14.5,0.93705,0.09631
15,0.93475,0.09988
15.5,0.93243,0.10348
16,0.93011,0.10711
16.5,0.92778,0.11077
17,0.92544,0.11446
17.5,0.9231,0.11819
18,0.92075,0.12195
18.5,0.91839,0.12574
19,0.91603,0.12956
19.5,0.91366,0.13342
20,0.91128,0.13731
20.5,0.9089,0.14123
21,0.9065,0.14518
21.5,0.90409,0.14915
22,0.90167,0.15315
22.5,0.89924,0.15718
23,0.8968,0.16123
23.5,0.89435,0.16531
24,0.89188,0.16943
24.5,0.88941,0.17357
25,0.88694,0.17774
25.5,0.88445,0.18195
26,0.88196,0.18618
26.5,0.87945,0.19045
27,0.87695,0.19476
27.5,0.87443,0.19909
28,0.87192,0.20347
28.5,0.86939,0.20788
29,0.86687,0.21232
29.5,0.86433,0.21681
30,0.8618,0.22133
30.5,0.85925,0.22587
31,0.85666,0.23041
31.5,0.85405,0.23495
32,0.85141,0.23951
32.5,0.84875,0.24408
33,0.84606,0.24866
33.5,0.84337,0.25327
34,0.84065,0.2579
34.5,0.83793,0.26255
35,0.8352,0.26725
35.5,0.83247,0.27197
36,0.82973,0.27674
36.5,0.827,0.28156
37,0.82427,0.28642
37.5,0.82155,0.29133
38,0.81884,0.29631
38.5,0.81615,0.30134
39,0.81347,0.30644
39.5,0.81081,0.3116
40,0.80818,0.31684
40.5,0.80554,0.32212
41,0.80289,0.32741
41.5,0.80022,0.33272
42,0.79754,0.33805
42.5,0.79484,0.3434
43,0.79213,0.34878
43.5,0.78941,0.35419
44,0.78669,0.35963
44.5,0.78396,0.3651
45,0.78123,0.37062
45.5,0.77851,0.37618
46,0.77578,0.38178
46.5,0.77306,0.38744
47,0.77034,0.39314
47.5,0.76764,0.39891
48,0.76495,0.40474
48.5,0.76227,0.41063
49,0.7596,0.41658
49.5,0.75695,0.42261
50,0.75433,0.42871
50.5,0.75172,0.43485
51,0.74913,0.44101
51.5,0.74654,0.44719
52,0.74397,0.45339
52.5,0.74141,0.45962
53,0.73885,0.46588
53.5,0.7363,0.47217
54,0.73376,0.4785
54.5,0.73122,0.48488
55,0.72869,0.4913
55.5,0.72615,0.49777
56,0.72362,0.50429
56.5,0.72108,0.51087
57,0.71855,0.51752
57.5,0.716,0.52423
58,0.71346,0.53101
58.5,0.71091,0.53786
59,0.70835,0.54479
59.5,0.70578,0.55181
60,0.7032,0.55891
60.5,0.70063,0.56602
61,0.69807,0.57309
61.5,0.69553,0.58012
62,0.693,0.58713
62.5,0.69048,0.59413
63,0.68797,0.60113
63.5,0.68547,0.60815
64,0.68298,0.61519
64.5,0.68048,0.62228
65,0.67799,0.62942
65.5,0.67549,0.63663
66,0.673,0.64391
66.5,0.67049,0.65129
67,0.66798,0.65877
67.5,0.66545,0.66637
68,0.66292,0.6741
68.5,0.66037,0.68198
69,0.6578,0.69
69.5,0.65521,0.6982
70,0.6526,0.70658
70.5,0.64999,0.71506
71,0.64737,0.72358
71.5,0.64475,0.73213
72,0.64213,0.74073
72.5,0.63951,0.74938
73,0.63689,0.75809
73.5,0.63427,0.76686
74,0.63164,0.77571
74.5,0.62901,0.78463
75,0.62638,0.79363
75.5,0.62374,0.80273
76,0.62109,0.81192
76.5,0.61844,0.82121
77,0.61578,0.83062
77.5,0.61312,0.84014
78,0.61045,0.84978
78.5,0.60777,0.85956
79,0.60508,0.86947
79.5,0.60238,0.87952
80,0.59967,0.88972
80.5,0.59695,0.90004
81,0.59423,0.91044
81.5,0.59151,0.92091
82,0.58879,0.93147
82.5,0.58606,0.94211
83,0.58332,0.95284
83.5,0.58059,0.96365
84,0.57785,0.97455
84.5,0.5751,0.98554
85,0.57235,0.99663
85.5,0.56959,1.0078
86,0.56683,1.01908
86.5,0.56406,1.03045
87,0.56129,1.04192
87.5,0.55851,1.05349
88,0.55572,1.06516
88.5,0.55293,1.07694
89,0.55013,1.08882
89.5,0.54732,1.10081
90,0.54451,1.11291
90.5,0.54169,1.12512
91,0.53886,1.13742
91.5,0.53603,1.14982
92,0.53319,1.16232
92.5,0.53034,1.17491
93,0.5275,1.18761
93.5,0.52464,1.2004
94,0.52178,1.21329
94.5,0.51891,1.22628
95,0.51604,1.23937
95.5,0.51316,1.25255
96,0.51028,1.26584
96.5,0.50739,1.27922
97,0.50449,1.29269
97.5,0.50159,1.30627
98,0.49869,1.31994
98.5,0.49577,1.33371
99,0.49286,1.34758
99.5,0.48993,1.36155
100,0.487,1.37561
