tNm, kAuLaMu, kAuLaStd, kCuKaMu, kCuKaStd
20.0, 0.22818, 0.00386, 0.83163, 0.00146
40.0, 0.46173, 0.00476, 0.66520, 0.00133
60.0, 0.65658, 0.00546, 0.51792, 0.00122
80.0, 0.79222, 0.00595, 0.40477, 0.00113
100.0, 0.86540, 0.00626, 0.30921, 0.00104
120.0, 0.91020, 0.00646, 0.24467, 0.00098
140.0, 0.92452, 0.00659, 0.19408, 0.00092
160.0, 0.95303, 0.00671, 0.16642, 0.00090
180.0, 0.93754, 0.00671, 0.14617, 0.00087
200.0, 0.95266, 0.00675, 0.13149, 0.00086
220.0, 0.93589, 0.00676, 0.12222, 0.00084
240.0, 0.94162, 0.00678, 0.11575, 0.00083
260.0, 0.95172, 0.00679, 0.11184, 0.00083
280.0, 0.94528, 0.00678, 0.11152, 0.00083
300.0, 0.96135, 0.00678, 0.10711, 0.00082
