MC simulation of a multilayer film [20 nm of C,50000 nm of Eagle XG] at 15.0 keV + CSF + BSF
Characteristic
Type:	Characteristic
# of electrons	20000
# of scattering events	5938458
Transition	Generated (1/mSr)	Transmitted (1/mSr)
C K-L3	2825.8940293109836	2801.0219770927106
O K-L3	227428.70899337035	59439.40787583797
Mg K-L3	2777.2501940633156	1646.9648761425935
Al K-L3	28521.280711982705	20210.935259681788
Al K-M3	174.2910363797597	128.12100742472413
Si K-L3	87989.27283754229	64758.78491566433
Si K-M3	1499.8461644250215	1145.0305043742092
Ca K-L3	4712.987576873962	4350.881542895722
Ca K-M3	502.46315105980227	471.56242117210115
Ti K-L3	12.098752009411335	11.501638637188737
Ti K-M3	1.3774534791270174	1.3241318630740833
Ti L3-M5	2.7295478163047164	0.47675717384190114
Fe K-L3	12.561566995792345	12.357119685756752
Fe K-M3	1.5181192647322657	1.4993040404541342
Fe L3-M5	25.721059501089492	4.389089102531078
As K-L3	0.6489799865190875	0.6477362426593802
As K-M3	0.08650851362290835	0.08638818144624189
As L3-M5	40.051383281843805	24.359187496072412
Sr K-L3	0.0	0.0
Sr L3-M5	1065.8984924775132	805.4622916564181
Zr L2-N4	0.1635600112237089	0.1199848626354894
Zr L3-M5	31.339265255248762	20.641278783303843
Sn L2-N4	4.503346535876025	4.203607095299917
Sn L3-M5	80.19082457975946	72.61845096826534
Sb L2-N4	1.4336996697396667	1.3514909404954056
Sb L3-M5	24.06900814319123	22.074115073984736
Ba L2-N4	3.316743383953232	3.2248547745742377
Ba L3-M5	45.69257654548859	43.37729090769861
Bremsstrahlung Fluorescence
Type:	Continuum Fluorescence
# of electrons	20000
# of scattering events	588672
Transition	Generated (1/mSr)	Transmitted (1/mSr)
C K-L3	0.1339771961148108	0.13211725283692882
O K-L3	127.16617077646798	23.68416450368707
Mg K-L3	8.603442774100904	2.7635048573237855
Al K-L3	112.47236337261283	44.217220400649225
Al K-M3	0.0	0.0
Si K-L3	442.76845080868407	164.81959375978258
Si K-M3	7.547335501906425	3.022123719035661
Ca K-L3	135.6668091049301	56.331599074670216
Ca K-M3	14.463770864064776	6.7532013198363146
Ti K-L3	0.5902664234910676	0.2875350357876214
Ti K-M3	0.06720234764852295	0.03668320874943091
Ti L3-M5	0.0010461489374492927	1.3764074951430277E-4
Fe K-L3	1.2768233810719811	0.7891574612801615
Fe K-M3	0.15430958359855235	0.10530333767678164
Fe L3-M5	0.020945139458475846	0.002021769933902351
As K-L3	0.051148862371669004	0.043165586557892925
As K-M3	0.006818102482649961	0.006024537552774843
As L3-M5	0.1109959832517919	0.04049718600111482
Sr K-L3	0.0	0.0
Sr L3-M5	4.8751494814876	1.8239987778107067
Zr L2-N4	0.0011585339165515118	3.9516383591448257E-4
Zr L3-M5	0.22025081686598988	0.05362685732993683
Sn L2-N4	0.12076488656224922	0.053305051917444245
Sn L3-M5	1.576647994647465	0.5352762516609683
Sb L2-N4	0.03620922484750747	0.01852764179198711
Sb L3-M5	0.5550366589504286	0.2269763264373457
Ba L2-N4	0.18391095282111736	0.10728219273931898
Ba L3-M5	1.515730734151843	0.6695072487394708
Characteristic Fluorescence
Type:	Characteristic Fluorescence
# of electrons	20000
# of scattering events	595190
Transition	Generated (1/mSr)	Transmitted (1/mSr)
C K-L3	0.020050472961028548	0.019815545415995724
O K-L3	254.88179841687005	40.904847941451884
Mg K-L3	48.98314307451088	19.135262134685675
Al K-L3	649.4913744521474	320.52818662547924
Al K-M3	0.0	0.0
Si K-L3	88.02372123597623	30.048573369125595
Si K-M3	1.5004333643934393	0.5529138641559883
Ca K-L3	1.0666198454578169	0.5239323032137865
Ca K-M3	0.1137149546418101	0.06171645138671424
Ti K-L3	0.0013992804805767667	6.848683224203116E-4
Ti K-M3	1.5930930436014424E-4	8.716327180985919E-5
Ti L3-M5	0.01385569805445134	0.002234746536262014
Fe K-L3	1.3312993734848722E-4	8.581672447598061E-5
Fe K-M3	1.6089324100173485E-5	1.1370005486385588E-5
Fe L3-M5	0.06445322864679848	0.007325036017511317
As K-L3	0.0	0.0
As K-M3	0.0	0.0
As L3-M5	0.47248084599785023	0.18660402344510268
Sr K-L3	0.0	0.0
Sr L3-M5	0.9717514132572814	0.340802395445653
Zr L2-N4	2.935029833365707E-4	9.411184923721547E-5
Zr L3-M5	0.053112770600452164	0.015064095045926118
Sn L2-N4	9.095256172097123E-4	4.7325963222501563E-4
Sn L3-M5	0.07205317253280229	0.03524382316908455
Sb L2-N4	3.5314290728095124E-4	2.018279406164154E-4
Sb L3-M5	0.003638313680706467	0.0016902860626439014
Ba L2-N4	3.7852058260554646E-4	2.3239259407090387E-4
Ba L3-M5	0.0033893269152246303	0.001550832797984937
